_id,href,status,auctionDate,auctionId,adjustedMmrPrice,baseMmrPrice,auctionPrice,auctionTypes,carName,city,color,drivetrain,engine,fuelType,make,model,odometer,transmission,trim,vin,year
5fb354744880f7092047bf9f,https://app.acvauctions.com/auction/2121926,4,10/19/2020,2121926,"$1,825 ","$1,825 ","$1,000 ",GREEN YELLOW,2006 Ford Explorer Limited,"Philadelphia, PA",Red,4WD,4.6L V8 EFI SOHC,Gas,Ford,Explorer,168829,Automatic,Limited,1FMEU75896UA09360,2006
5fb363c74880f7092047c247,https://app.acvauctions.com/auction/2084395,4,10/8/2020,2084395,"$1,400 ","$2,150 ",$850 ,GREEN YELLOW,2009 Hyundai Elantra SE,"Clifton Park, NY",Silver,FWD,2.0L I-4 MPI DOHC,Gas,Hyundai,Elantra,168986,Manual,SE,KMHDU46D39U601282,2009
5fb34fbd4880f7092047bac5,https://app.acvauctions.com/auction/2196964,3,11/5/2020,2196964,,,$400 ,GREEN YELLOW,1999 Chevrolet S10 LS,"Irwin, PA",Beige,4WD,4.3L V6 CPI,Gas,Chevrolet,S10,169022,Automatic,LS,1GCDT19W2X8204235,1999
5fb362804880f7092047c1f7,https://app.acvauctions.com/auction/2085896,4,10/9/2020,2085896,"$1,850 ","$2,350 ","$1,250 ",GREEN YELLOW,2010 Nissan Altima S,"Orangeburg, SC",Blue,FWD,2.5L I-4 SMPI DOHC CVTCS,Gas,Nissan,Altima,169072,Automatic,S,1N4AL2AP4AN454538,2010
5fb363dd4880f7092047c262,https://app.acvauctions.com/auction/2083819,4,10/8/2020,2083819,"$1,225 ","$1,225 ",$600 ,GREEN YELLOW,2001 Toyota Avalon XLS,"Troy, NY",Silver,FWD,3.0L V6 EFI DOHC,Gas,Toyota,Avalon,169106,Automatic,XLS,4T1BF28BX1U136148,2001
5fb353154880f7092047be5a,https://app.acvauctions.com/auction/2140956,4,10/22/2020,2140956,$550 ,$575 ,$700 ,GREEN YELLOW,2001 Chevrolet Blazer LS,"Stafford, VA",White,RWD,4.3L V6 CPI,Gas,Chevrolet,Blazer,169125,Automatic,LS,1GNCS18W61K211402,2001
5fb34f6e4880f7092047ba37,https://app.acvauctions.com/auction/2203146,4,11/6/2020,2203146,"$3,500 ","$3,500 ","$2,300 ",GREEN YELLOW,2008 Lincoln Navigator,"Ruckersville, VA",Gray,4WD,5.4L V8 EFI SOHC 3V,Gas,Lincoln,Navigator,169156,Automatic,FALSE,5LMFU285X8LJ22202,2008
5fb35f8b4880f7092047c1e2,https://app.acvauctions.com/auction/2087127,4,10/9/2020,2087127,"$1,675 ","$2,150 ","$1,500 ",GREEN YELLOW,2010 Chevrolet Impala LT,"Catskill, NY",Black,FWD,3.5L V6 SFI,Gas,Chevrolet,Impala,169293,Automatic,LT,2G1WB5EN2A1190386,2010
5fb3503f4880f7092047bb52,https://app.acvauctions.com/auction/2188503,4,11/4/2020,2188503,$900 ,"$1,050 ",$850 ,GREEN YELLOW,2002 Nissan Maxima GLE,"Falls Church, VA",Black,FWD,3.5L V6 MPI DOHC,Gas,Nissan,Maxima,169307,Automatic,GLE,JN1DA31A12T303803,2002
5fb352d94880f7092047be02,https://app.acvauctions.com/auction/2146225,4,10/23/2020,2146225,FALSE,"$2,775 ","$2,150 ",GREEN YELLOW,2004 Toyota Highlander Base,"Bronx, NY",Black,4WD,3.3L V6 SFI DOHC,Gas,Toyota,Highlander,169325,Automatic,Base,JTEEP21A840039263,2004
5fb355fc4880f7092047c00b,https://app.acvauctions.com/auction/2115080,4,10/16/2020,2115080,$950 ,$875 ,$950 ,GREEN YELLOW,2001 Subaru Forester L,"Manassas, VA",Blue,AWD,2.5L H-4 MPI SOHC,Gas,Subaru,Forester,169340,Automatic,L,JF1SF63591H743184,2001
5fb34e6d4880f7092047b8c3,https://app.acvauctions.com/auction/2224651,4,11/12/2020,2224651,"$4,075 ","$5,950 ","$2,700 ",GREEN YELLOW,2011 Ford Edge Limited,"Austin, TX",Silver,FWD,3.5L V6 SMPI DOHC,Gas,Ford,Edge,169356,Automatic,Limited,2FMDK3KC7BBA77739,2011
5fb351ef4880f7092047bd36,https://app.acvauctions.com/auction/2160805,4,10/28/2020,2160805,FALSE,"$2,325 ","$2,950 ",GREEN YELLOW,2005 Toyota Avalon XLS,"East Brunswick, NJ",Gray,FWD,3.5L V6 EFI DOHC,Gas,Toyota,Avalon,169379,Automatic,XLS,4T1BK36B25U031341,2005
5fb354214880f7092047bf24,https://app.acvauctions.com/auction/2130609,4,10/21/2020,2130609,"$7,125 ","$6,975 ","$3,800 ",GREEN YELLOW,2003 Toyota Tacoma Limited,"Lakewood, NJ",Silver,4WD,3.4L V6 EFI DOHC,Gas,Toyota,Tacoma,169392,Automatic,Limited,5TEHN72N33Z257986,2003
5fb34fb04880f7092047baa2,https://app.acvauctions.com/auction/2197494,4,11/5/2020,2197494,$975 ,$950 ,"$1,150 ",GREEN YELLOW,2006 Chevrolet Equinox LS,"Milford, CT",Gray,AWD,3.4L V6 SFI,Gas,Chevrolet,Equinox,169393,Automatic,LS,2CNDL23F166080117,2006
5fb34fd94880f7092047baee,https://app.acvauctions.com/auction/2194300,4,11/5/2020,2194300,"$1,725 ","$3,950 ","$1,250 ",GREEN YELLOW,2011 Chrysler Town & Country Touring L,"Saline, MI",Red,FWD,3.6L V6 MPI DOHC VVT Flex,Flex,Chrysler,Town & Country,169422,Automatic,Touring L,2A4RR8DG4BR610618,2011
